ID,Birth Year,Education,Marital Status,Income,Kids at Home,Teenagers at Home,Customer Enrolment Data,Recency,Complains,Amt_Wines_2Yrs,Amt_Fruits_2Yrs,Amt_Meat_Prod_2Yrs,Amt_Fish_Prod_2Yrs,Amount_Sweet_Prod_2Yrs,Amount_Gold_Prod_2Yrs,Purchases with Disc.,Off._  Accpt_Cmp1,Off._  Accpt_Cmp2,Off._  Accpt_Cmp3,Off._  Accpt_Cmp4,Off._  Accpt_Cmp5,Off._  Accpt_Last_Cmp,No. of Web Purchases,No. of Catalogue Purchases,No.  Of Store Purchases,No. of Web Visits Last Month
5524,1957,Graduation,Single,"? 58,138",0,0,04-09-2012,58,0,635,88,546,172,88,88,3,0,0,0,0,0,1,8,10,4,7
2174,1954,Graduation,Single,"? 46,344",1,1,08-03-2014,38,0,11,1,6,2,1,6,2,0,0,0,0,0,0,1,1,2,5
4141,1965,Graduation,Together,"? 71,613",0,0,21-08-2013,26,0,426,49,127,111,21,42,1,0,0,0,0,0,0,8,2,10,4
6182,1984,Graduation,Together,"? 26,646",1,0,10-02-2014,26,0,11,4,20,10,3,5,2,0,0,0,0,0,0,2,0,4,6
5324,1981,Phd,Married,"? 58,293",1,0,19-01-2014,94,0,173,43,118,46,27,15,5,0,0,0,0,0,0,5,3,6,5
7446,1967,Master,Together,"? 62,513",0,1,09-09-2013,16,0,520,42,98,0,42,14,2,0,0,0,0,0,0,6,4,10,6
965,1971,Graduation,Divorced,"? 55,635",0,1,13-11-2012,34,0,235,65,164,50,49,27,4,0,0,0,0,0,0,7,3,7,6
6177,1985,Phd,Married,"? 33,454",1,0,08-05-2013,32,0,76,10,56,3,1,23,2,0,0,0,0,0,0,4,0,4,8
4855,1974,Phd,Together,"? 30,351",1,0,06-06-2013,19,0,14,0,24,3,3,2,1,0,0,0,0,0,1,3,0,2,9
5899,1950,Phd,Together,"? 5,648",1,1,13-03-2014,68,0,28,0,6,1,1,13,1,0,0,1,0,0,0,1,0,0,20
1994,1983,Graduation,Married,NA,1,0,15-11-2013,11,0,5,5,6,0,2,1,1,0,0,0,0,0,0,1,0,2,7
387,1976,Basic,Married,"? 7,500",0,0,13-11-2012,59,0,6,16,11,11,1,16,1,0,0,0,0,0,0,2,0,3,8
2125,1959,Graduation,Divorced,"? 63,033",0,0,15-11-2013,82,0,194,61,480,225,112,30,1,0,0,0,0,0,0,3,4,8,2
8180,1952,Master,Divorced,"? 59,354",1,1,15-11-2013,53,0,233,2,53,3,5,14,3,0,0,0,0,0,0,6,1,5,6
2569,1987,Graduation,Married,"? 17,323",0,0,10-10-2012,38,0,3,14,17,6,1,5,1,0,0,0,0,0,0,1,0,3,8
